LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	No
X_Columns	One
Time_Pref	Relative
Operator	testusers
Date	2019/10/31
Time	11:02:23.53125
***End_of_Header***	
	
Channels	6						
Samples	20000	20000	20000	20000	20000	20000	
Date	2019/10/31	2019/10/31	2019/10/31	2019/10/31	2019/10/31	2019/10/31	
Time	11:19:09.421875	11:19:09.421875	11:19:09.421875	11:19:09.421875	11:19:09.421875	11:19:09.421875	
X_Dimension	Time	Time	Time	Time	Time	Time	
X0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	
Delta_X	0.025000	0.025000	0.025000	0.025000	0.025000	0.025000	
***End_of_Header***							
X_Value	FRF Magnitude 1	FRF Magnitude 2	FRF Phase 1	FRF Phase 2	Coherence 1	Coherence 2	Comment
0.000000	16.292855	9.593147	3.141593	0.000000	0.879765	0.364200
0.025000	1.400694	1.278878	2.285077	1.136378	0.753812	0.673615
0.050000	1.814439	2.948124	0.645792	2.083575	0.998083	0.909804
0.075000	2.207986	1.420146	0.859400	1.412756	0.983336	0.957978
0.100000	2.800347	1.881148	0.044909	0.914431	0.961222	0.994099
0.125000	1.589604	1.535833	-0.022929	-0.196833	0.990317	0.995659
0.150000	1.587485	1.280213	-0.543811	-1.936073	0.972377	0.997803
0.175000	0.984703	1.152105	1.124459	2.488020	0.826834	0.946952
0.200000	2.345348	0.525845	0.273066	1.314548	0.974447	0.683339
0.225000	2.134292	0.329947	-0.077361	1.955250	0.998309	0.776015
0.250000	1.725167	0.499871	0.150873	1.297205	0.992322	0.841339
0.275000	1.601661	0.452026	-0.092870	2.234374	0.989361	0.980454
0.300000	1.597642	1.138794	0.471196	1.247483	0.993685	0.909148
0.325000	2.516390	0.578351	-0.032278	-0.020167	0.996417	0.645264
0.350000	1.312306	0.347523	-0.215832	1.651510	0.981421	0.621806
0.375000	1.629254	0.545661	0.313694	0.970572	0.992702	0.827323
0.400000	2.085594	0.621344	0.222498	0.882984	0.997483	0.887203
