TestNumber,Parameter,Simulated,Experimental,PercentDifference
Test #,Parameter,Simulated,Experimental,%Difference
1,Overshoot,73.0850554548232,68.2132260597639,6.89580841725423
1,SettlingTime,3.28001506793636,2.14346692470838,41.9121201017855
1,RiseTime,0.065377311913517,0.0656727413057319,0.450864970990239
1,SS Displacement,0.0059230030595121,0.005745808,3.0370713624273
2,Overshoot,76.1298707144362,73.223312330467,3.89219476239137
2,SettlingTime,3.31278583695548,2.18679877865867,40.9480765183598
2,RiseTime,0.0568180582774438,0.0573687411019097,0.964529748550741
2,SS Displacement,0.00456517583998954,0.004346867,4.89918740089441
3,Overshoot,4.5769008605312e-05,0.0080993574570476,197.752324224881
3,SettlingTime,1.36922313617905,1.45959031078611,6.38905154413793
3,RiseTime,0.20947878517496,0.232188701827611,10.2837167421012
3,SS Displacement,0.00591981960515816,0.005494263,7.45669397846905
4,Overshoot,80.0632752907097,76.1076625588239,5.06574755374393
4,SettlingTime,3.23319238512607,2.20524699392546,37.8029548388523
4,RiseTime,0.0445639085583589,0.0462432407074902,3.69867827083712
4,SS Displacement,0.00592372361118835,0.00580759,1.97989100005979
5,Overshoot,63.7724879197288,60.2681301150034,5.65033915542759
5,SettlingTime,2.08169438363842,1.6995025229741,20.2153905286416
5,RiseTime,0.0472800541330289,0.0487015358683431,2.96198830482779
5,SS Displacement,0.00591999361460673,0.005794351,2.14510702459724
6,Overshoot,10.1239879540018,5.11949950113402,65.6606759784709
6,SettlingTime,1.24550205935656,1.21255331179321,2.68087919825278
6,RiseTime,0.0755796524639418,0.0788229873624307,4.20113918017981
6,SS Displacement,0.00591978401059429,0.005781112,2.37028019852045
7,Overshoot,0.0450995507959018,0.00557747443987733,155.976307496917
7,SettlingTime,1.18628590084699,1.28663371383274,8.11573594144061
7,RiseTime,0.112139610272898,0.131908881899315,16.2011012241512
7,SS Displacement,0.00840866570239592,0.008283319,1.50187895125406
8,Overshoot,80.2078912374564,89.7904771588144,11.2737386973276
8,SettlingTime,2.28474422282777,2.23792899801587,2.07024573856645
8,RiseTime,0.0256017737274754,0.0250761300829376,2.07444903997695
8,SS Displacement,0.00340219305368428,0.003225949,5.31805300057849
9,Overshoot,63.7759399482926,72.6691173495273,13.0355435035269
9,SettlingTime,1.62193434153344,1.6105612154195,0.703674663339971
9,RiseTime,0.0271839573180801,0.0278567043695364,2.44454565344594
9,SS Displacement,0.00340220013692739,0.00321271,5.72918249847628
