X_Value	FRF Magnitude 1	FRF Magnitude 2	FRF Magnitude 3	FRF Phase 1	FRF Phase 2	FRF Phase 3	Coherence 1	Coherence 2	Coherence 3	Response Function FFT (Mag) 1	Response Function FFT (Mag) 2	Response Function FFT (Mag) 3	Response Function FFT (Phase) 1	Response Function FFT (Phase) 2	Response Function FFT (Phase) 3	Transmissibility Magnitude 1	Transmissibility Magnitude 2	Transmissibility Phase 1	Transmissibility Phase 2	Bode Amplitude Ratio 1	Bode Amplitude Ratio 2	Bode Amplitude Ratio 3	Bode Phase 1	Bode Phase 2	Bode Phase 3	Comment
1.200000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.001033	0.000000	0.000000	2.457579	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
1.300000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.002411	0.000000	0.000000	2.272416	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
1.400000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.002168	0.000000	0.000000	2.393639	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
1.500000	1.399720	0.000000	0.000000	-0.170909	0.000000	0.000000	1.000000	NaN	NaN	0.717916	0.000000	0.000000	1.404600	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.920820	-Inf	-Inf	-9.792354	0.000000	0.000000
1.600000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.001607	0.000000	0.000000	0.253947	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
1.700000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000464	0.000000	0.000000	-0.929809	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
1.800000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000884	0.000000	0.000000	-1.528029	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
1.900000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000891	0.000000	0.000000	-2.013202	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
2.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.096446	0.000000	0.000000	-0.339990	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
2.100000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.001463	0.000000	0.000000	-2.215060	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
2.200000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.001281	0.000000	0.000000	-2.645472	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
2.300000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.001597	0.000000	0.000000	-2.538775	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
2.400000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.001809	0.000000	0.000000	-2.619419	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
2.500000	1.454072	0.000000	0.000000	-0.210432	0.000000	0.000000	1.000000	NaN	NaN	0.265126	0.000000	0.000000	-1.773374	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.251716	-Inf	-Inf	-12.056869	0.000000	0.000000
2.600000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.001920	0.000000	0.000000	-2.917999	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
2.700000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.001577	0.000000	0.000000	3.134422	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
2.800000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.002163	0.000000	0.000000	-2.750144	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
2.900000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.001805	0.000000	0.000000	-2.829395	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
3.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.033940	0.000000	0.000000	-3.072275	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
