X_Value	FRF Magnitude 1	FRF Magnitude 2	FRF Magnitude 3	FRF Phase 1	FRF Phase 2	FRF Phase 3	Coherence 1	Coherence 2	Coherence 3	Response Function FFT (Mag) 1	Response Function FFT (Mag) 2	Response Function FFT (Mag) 3	Response Function FFT (Phase) 1	Response Function FFT (Phase) 2	Response Function FFT (Phase) 3	Transmissibility Magnitude 1	Transmissibility Magnitude 2	Transmissibility Phase 1	Transmissibility Phase 2	Bode Amplitude Ratio 1	Bode Amplitude Ratio 2	Bode Amplitude Ratio 3	Bode Phase 1	Bode Phase 2	Bode Phase 3	Comment
49.900000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.967563E-5	0.000000	0.000000	-0.754189	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
50.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000192	0.000000	0.000000	-1.435336	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
50.100000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000131	0.000000	0.000000	0.378322	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
50.200000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.773905E-5	0.000000	0.000000	1.922935	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
50.300000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.186867E-5	0.000000	0.000000	2.027027	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
50.400000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.083828E-5	0.000000	0.000000	1.181409	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
50.500000	1.100947	0.000000	0.000000	-2.064833	0.000000	0.000000	1.000000	NaN	NaN	0.000415	0.000000	0.000000	2.806207	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.835329	-Inf	-Inf	-118.306189	0.000000	0.000000
50.600000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.690006E-5	0.000000	0.000000	1.437834	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
50.700000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.121124E-5	0.000000	0.000000	-0.466039	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
50.800000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000111	0.000000	0.000000	1.309968	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
50.900000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000116	0.000000	0.000000	-0.661325	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
51.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000150	0.000000	0.000000	1.447938	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
51.100000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.277345E-5	0.000000	0.000000	-0.294282	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
51.200000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.745743E-5	0.000000	0.000000	-1.033605	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
51.300000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.095460E-5	0.000000	0.000000	-0.763700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
51.400000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.225023E-5	0.000000	0.000000	-0.847383	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
51.500000	0.922994	0.000000	0.000000	-2.324240	0.000000	0.000000	1.000000	NaN	NaN	0.000463	0.000000	0.000000	-0.591652	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.696026	-Inf	-Inf	-133.169147	0.000000	0.000000
51.600000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.655747E-5	0.000000	0.000000	3.126923	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
51.700000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.862073E-5	0.000000	0.000000	-1.911027	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
51.800000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.540208E-5	0.000000	0.000000	0.879843	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
51.900000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.710957E-5	0.000000	0.000000	2.039342	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
52.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.260137E-5	0.000000	0.000000	-0.372461	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
52.100000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.724540E-5	0.000000	0.000000	1.016661	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
52.200000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.030051E-5	0.000000	0.000000	-0.069967	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
52.300000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000113	0.000000	0.000000	1.144423	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
52.400000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.197580E-5	0.000000	0.000000	1.389197	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
52.500000	1.324482	0.000000	0.000000	-1.147177	0.000000	0.000000	1.000000	NaN	NaN	0.000458	0.000000	0.000000	-2.553039	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.440924	-Inf	-Inf	-65.728384	0.000000	0.000000
52.600000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000190	0.000000	0.000000	1.241538	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
52.700000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000109	0.000000	0.000000	2.729358	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
52.800000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.652724E-5	0.000000	0.000000	1.345252	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
52.900000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.958585E-5	0.000000	0.000000	2.746126	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
53.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000281	0.000000	0.000000	0.009341	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
53.100000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.204542E-5	0.000000	0.000000	2.982457	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
53.200000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.203057E-5	0.000000	0.000000	0.326474	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
53.300000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.434865E-5	0.000000	0.000000	-0.085417	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
53.400000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000202	0.000000	0.000000	0.429842	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
53.500000	2.080357	0.000000	0.000000	-3.127143	0.000000	0.000000	1.000000	NaN	NaN	0.000972	0.000000	0.000000	-1.388272	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.362758	-Inf	-Inf	-179.172108	0.000000	0.000000
53.600000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.103306E-5	0.000000	0.000000	1.061139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
53.700000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.667563E-5	0.000000	0.000000	0.252213	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
53.800000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000141	0.000000	0.000000	1.137288	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
53.900000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000121	0.000000	0.000000	1.701371	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
54.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000427	0.000000	0.000000	0.803535	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
54.100000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.578093E-5	0.000000	0.000000	-1.169081	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
54.200000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.671607E-5	0.000000	0.000000	2.267889	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
54.300000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.235561E-5	0.000000	0.000000	0.520952	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
54.400000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.499806E-5	0.000000	0.000000	0.240418	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
54.500000	0.235180	0.000000	0.000000	2.417212	0.000000	0.000000	1.000000	NaN	NaN	7.484902E-5	0.000000	0.000000	1.017632	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-12.571987	-Inf	-Inf	138.496024	0.000000	0.000000
54.600000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.955776E-5	0.000000	0.000000	-1.891751	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
54.700000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000135	0.000000	0.000000	0.230019	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
54.800000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.933280E-5	0.000000	0.000000	1.510390	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
54.900000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000102	0.000000	0.000000	-3.025109	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
55.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.300935E-5	0.000000	0.000000	-1.807047	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
55.100000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.654768E-5	0.000000	0.000000	0.948051	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
55.200000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.625723E-5	0.000000	0.000000	-1.209814	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
55.300000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.698855E-5	0.000000	0.000000	0.737227	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
55.400000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.187207E-6	0.000000	0.000000	2.024764	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
55.500000	0.406050	0.000000	0.000000	1.299838	0.000000	0.000000	1.000000	NaN	NaN	0.000177	0.000000	0.000000	3.044992	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-7.828414	-Inf	-Inf	74.475213	0.000000	0.000000
55.600000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.567248E-5	0.000000	0.000000	2.186025	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
55.700000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.870620E-5	0.000000	0.000000	2.504336	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
55.800000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.890826E-5	0.000000	0.000000	-1.056966	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
55.900000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000143	0.000000	0.000000	0.281940	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
56.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.049868E-5	0.000000	0.000000	-0.907097	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
56.100000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.320243E-5	0.000000	0.000000	-0.239392	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
56.200000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.005978E-5	0.000000	0.000000	2.173673	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
56.300000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.514759E-5	0.000000	0.000000	-2.401838	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
56.400000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.150561E-5	0.000000	0.000000	1.973920	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
56.500000	0.689957	0.000000	0.000000	2.648126	0.000000	0.000000	1.000000	NaN	NaN	0.000203	0.000000	0.000000	1.254830	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3.223562	-Inf	-Inf	151.726460	0.000000	0.000000
56.600000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.772826E-5	0.000000	0.000000	2.205008	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
56.700000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000123	0.000000	0.000000	0.737814	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
56.800000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.185299E-5	0.000000	0.000000	2.168235	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
56.900000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000115	0.000000	0.000000	0.860272	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
57.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.266015E-5	0.000000	0.000000	1.894776	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
57.100000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000102	0.000000	0.000000	1.352023	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
57.200000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.329833E-5	0.000000	0.000000	-0.086772	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
57.300000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.861252E-5	0.000000	0.000000	0.670039	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
57.400000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000117	0.000000	0.000000	-0.475436	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
57.500000	0.228034	0.000000	0.000000	-2.637825	0.000000	0.000000	1.000000	NaN	NaN	9.317348E-5	0.000000	0.000000	-0.886388	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-12.840017	-Inf	-Inf	-151.136267	0.000000	0.000000
57.600000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000118	0.000000	0.000000	2.284956	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
57.700000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.147623E-5	0.000000	0.000000	-1.296473	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
57.800000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.149825E-5	0.000000	0.000000	0.422867	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
57.900000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.226516E-5	0.000000	0.000000	2.228578	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
58.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.463939E-5	0.000000	0.000000	1.787211	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
58.100000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.547050E-5	0.000000	0.000000	-0.915887	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
58.200000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.831806E-5	0.000000	0.000000	0.592217	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
58.300000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.629530E-5	0.000000	0.000000	1.502211	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
58.400000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.980180E-5	0.000000	0.000000	2.354156	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
58.500000	0.510857	0.000000	0.000000	1.511239	0.000000	0.000000	1.000000	NaN	NaN	0.000139	0.000000	0.000000	0.124226	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-5.834017	-Inf	-Inf	86.587641	0.000000	0.000000
58.600000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.023306E-5	0.000000	0.000000	0.288875	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
58.700000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.216049E-5	0.000000	0.000000	-1.274940	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
58.800000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000123	0.000000	0.000000	-0.282943	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
58.900000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.738813E-5	0.000000	0.000000	0.463747	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
59.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.744233E-5	0.000000	0.000000	-1.783379	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
59.100000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.137325E-5	0.000000	0.000000	-0.314660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
59.200000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.036353E-5	0.000000	0.000000	1.026248	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
59.300000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.692321E-5	0.000000	0.000000	0.979474	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
59.400000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.391333E-5	0.000000	0.000000	-0.927406	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
59.500000	0.445599	0.000000	0.000000	1.903464	0.000000	0.000000	1.000000	NaN	NaN	0.000171	0.000000	0.000000	-2.622001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-7.021122	-Inf	-Inf	109.060431	0.000000	0.000000
59.600000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.697233E-5	0.000000	0.000000	0.176778	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
59.700000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000126	0.000000	0.000000	0.393737	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
59.800000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.105152E-5	0.000000	0.000000	2.147092	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
59.900000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000137	0.000000	0.000000	-0.708942	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
60.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000137	0.000000	0.000000	0.978939	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
60.100000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.054481E-5	0.000000	0.000000	1.648651	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
60.200000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.918692E-5	0.000000	0.000000	-0.159746	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
60.300000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.407209E-5	0.000000	0.000000	0.739571	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
60.400000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.727724E-5	0.000000	0.000000	0.501382	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
60.500000	0.538911	0.000000	0.000000	-1.717506	0.000000	0.000000	1.000000	NaN	NaN	0.000136	0.000000	0.000000	-3.098236	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-5.369660	-Inf	-Inf	-98.405826	0.000000	0.000000
60.600000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.887126E-5	0.000000	0.000000	-0.324587	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
60.700000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000105	0.000000	0.000000	-1.358867	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
60.800000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000110	0.000000	0.000000	-0.805545	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
60.900000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.117363E-5	0.000000	0.000000	-2.116860	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
61.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.131003E-5	0.000000	0.000000	-2.350950	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
61.100000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000147	0.000000	0.000000	0.407021	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
61.200000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.945970E-5	0.000000	0.000000	2.115039	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
61.300000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.098818E-5	0.000000	0.000000	-0.584785	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
