LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	No
X_Columns	One
Time_Pref	Relative
Operator	testusers
Date	2019/10/31
Time	11:02:23.53125
***End_of_Header***	
	
Channels	11											
Samples	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	
Date	2019/10/31	2019/10/31	2019/10/31	2019/10/31	2019/10/31	2019/10/31	2019/10/31	2019/10/31	2019/10/31	2019/10/31	2019/10/31	
Time	11:57:35.40625	11:57:35.40625	11:57:35.40625	11:57:35.40625	11:57:35.40625	11:57:35.40625	11:57:35.40625	11:57:35.40625	11:57:35.40625	11:57:35.40625	11:57:35.40625	
X_Dimension	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	
X0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	
Delta_X	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	
***End_of_Header***												
X_Value	Input Trajectory	Displacement 1	Displacement 2	Displacement 3	Control Effort	Velocity 1	Velocity 2	Velocity 3	Acceleration 1	Acceleration 2	Acceleration 3	Comment
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.215271	-1.506899	0.215271	10.251017	-71.757117	10.251017
0.001000	0.000000	-2.080871E-7	1.416143E-36	-8.557926E-118	0.000000	0.215266	-1.506899	0.215271	10.250775	-71.757117	10.251017
0.002000	0.000000	3.699594E-11	-2.517769E-40	1.521519E-121	0.000000	0.215271	-1.506899	0.215271	10.251017	-71.757117	10.251017
0.003000	0.000000	6.242891E-7	-4.248617E-36	2.567492E-117	0.000000	0.215287	-1.506899	0.215271	10.251742	-71.757117	10.251017
0.004000	0.000000	-2.589882E-10	1.762552E-39	-1.065132E-120	0.000000	0.215271	-1.506899	0.215271	10.251016	-71.757117	10.251017
0.005000	0.000000	-2.289153E-6	1.557889E-35	-9.414517E-117	0.000000	0.215216	-1.506899	0.215271	10.248358	-71.757117	10.251017
0.006000	0.000000	1.443019E-9	-9.820508E-39	5.934654E-120	0.000000	0.215271	-1.506899	0.215271	10.251018	-71.757117	10.251017
0.007000	0.000000	8.532626E-6	-5.806903E-35	3.509183E-116	0.000000	0.215479	-1.506899	0.215271	10.260927	-71.757117	10.251017
0.008000	0.000000	-7.178510E-9	4.885356E-38	-2.952281E-119	0.000000	0.215271	-1.506899	0.215271	10.251008	-71.757117	10.251017
0.009000	0.000000	-3.184249E-5	2.167050E-34	-1.309575E-115	0.000000	0.214495	-1.506899	0.215271	10.214033	-71.757117	10.251017
0.010000	0.000000	3.348931E-8	-2.279125E-37	1.377303E-118	0.000000	0.215272	-1.506899	0.215271	10.251056	-71.757117	10.251017
0.011000	0.000000	0.000119	-8.087796E-34	4.887555E-115	0.000000	0.218170	-1.506899	0.215271	10.389044	-71.757117	10.251017
0.012000	0.000000	-1.499890E-7	1.020754E-36	-6.168544E-118	0.000000	0.215268	-1.506899	0.215271	10.250842	-71.757117	10.251017
0.013000	0.000000	-0.000444	3.018521E-33	-1.824130E-114	0.000000	0.204453	-1.506899	0.215271	9.735872	-71.757117	10.251017
0.014000	0.000000	6.530985E-7	-4.444680E-36	2.685975E-117	0.000000	0.215287	-1.506899	0.215271	10.251775	-71.757117	10.251017
0.015000	0.000000	0.002208	-1.126571E-32	6.808006E-114	0.000000	0.269121	-1.506899	0.215271	12.815287	-71.757117	10.251017
0.016000	0.000000	0.004414	1.895855E-35	-1.145688E-116	0.000000	0.322925	-1.506899	0.215271	15.377391	-71.757117	10.251017
0.017000	0.000000	0.004856	4.204581E-32	-2.540880E-113	0.000000	0.333719	-1.506899	0.215271	15.891372	-71.757117	10.251017
0.018000	0.000000	0.004413	-7.960313E-35	4.810515E-116	0.000000	0.322902	-1.506899	0.215271	15.376264	-71.757117	10.251017
0.019000	0.000000	0.004294	-1.569231E-31	9.483058E-113	0.000000	0.320010	-1.506899	0.215271	15.238577	-71.757117	10.251017
0.020000	0.000000	0.004413	3.301112E-34	-1.994903E-115	0.000000	0.322909	-1.506899	0.215271	15.376603	-71.757117	10.251017
0.021000	0.000000	0.004445	5.856675E-31	-3.539261E-112	0.000000	0.323683	-1.506899	0.215271	5.162470	0.000000	0.000000
0.022000	0.000000	0.004413	-1.355269E-33	8.190057E-115	0.000000	0.322907	-1.506899	0.215271	5.125727	0.000000	0.000000
0.023000	0.000000	0.004405	-2.185825E-30	1.320921E-111	0.000000	0.322699	-1.506899	0.215271	5.115605	0.000000	0.000000
0.024000	0.000000	0.004413	5.518062E-33	-3.334633E-114	0.000000	0.322907	-1.506899	0.215271	5.124790	0.000000	0.000000
0.025000	0.000000	0.004415	8.157922E-30	-4.929933E-111	0.000000	0.322963	-1.506899	0.215271	5.128162	0.000000	0.000000
0.026000	0.000000	0.004413	-2.231112E-32	1.348288E-113	0.000000	0.322907	-1.506899	0.215271	5.128165	0.000000	0.000000
0.027000	0.000000	0.004412	-3.044695E-29	1.839947E-110	0.000000	0.322892	-1.506899	0.215271	5.124796	0.000000	0.000000
0.028000	0.000000	0.004413	8.967648E-32	-5.419260E-113	0.000000	0.322907	-1.506899	0.215271	5.115599	0.000000	0.000000
0.029000	0.000000	0.004413	1.136339E-28	-6.867038E-110	0.000000	0.322911	-1.506899	0.215271	5.125707	0.000000	0.000000
